relative_position_r,relative_position_t,relative_position_n,relative_velocity_r,relative_velocity_t,relative_velocity_n,miss_distance
-341.1,10266.6,11264.4,-14.4,-8186.6,7458.9,15244.0
-127.6,-4476.2,-21786.2,53.7,-14464.2,2971.8,22241.0
750.4,-16918.5,3184.4,-422.8,-1327.2,-6954.5,17231.0
-600.9,-5080.3,15673.8,-25.4,-14305.0,-4637.5,16487.0
-204.9,26257.3,-1692.5,-25.3,-59.1,-913.9,26312.0
-487.0,28908.6,-14878.8,131.3,-3185.3,-6193.7,32516.0
387.4,2389.5,20799.7,-13.4,-14897.0,1712.0,20940.0
-790.3,427.6,-8371.8,-62.1,-15185.6,-764.7,8419.0
747.5,25534.8,27550.1,-43.0,-8096.9,7505.0,37571.0
23.1,7811.9,-2811.0,64.1,-1731.3,-4808.6,8302.0
-53.3,-9013.2,-3867.0,37.4,-2331.1,5431.4,9807.0
-413.7,42.0,-333.3,20.5,-14769.0,-1715.0,532.0
1158.9,3971.9,16584.3,29.4,-14281.8,3419.7,17092.0
1717.8,954.1,5967.3,16.5,-14550.0,2328.5,6282.0
-481.5,-24503.7,-3610.2,64.0,-275.1,1858.7,24772.0
-133.4,1447.7,-6989.8,6.7,-14342.7,-2963.9,7139.0
-487.4,28399.3,-14614.3,131.9,-3185.3,-6193.7,31942.0
-1286.8,4867.1,-22285.6,3.4,-14508.8,-3169.3,22847.0
451.2,-4268.8,-478.5,54.1,-113.1,1059.6,4319.0
78.8,-5646.5,-16407.0,-62.9,-13485.7,4641.2,17351.0
39.3,32613.3,4209.9,-77.2,-288.7,2237.7,32883.0
-367.6,10452.9,8207.5,-95.7,-5788.2,7367.6,13295.0
-275.2,37419.7,12923.3,-50.7,-1601.1,4634.5,39589.0
571.2,3131.0,-19569.5,-12.8,-14681.9,-2347.6,19826.0
-282.9,2541.7,-6448.2,0.4,-12966.5,-5105.3,6936.0
209.1,8924.4,-3129.9,29.5,-1653.0,-4713.2,9459.0
443.1,-8869.6,33358.5,-57.9,-14119.4,-3754.9,34520.0
815.5,-6652.8,6540.7,-16.8,-7466.1,-7593.4,9365.0
94.5,541.4,-5031.3,3.0,-14829.8,-1599.9,5061.0
1426.8,6018.5,-28094.5,-3.6,-14526.7,-3112.4,28767.0
-774.2,27154.0,-18016.9,-52.1,-4578.2,-6896.8,32596.0
147.4,4272.3,-22939.9,-11.8,-14603.6,-2721.0,23334.0
538.6,12622.2,-15611.2,-47.2,-9075.9,-7339.4,20082.0
261.7,583.4,-6902.9,40.3,-14861.3,-1256.6,6932.0
250.3,1270.7,-9433.7,95.6,-14798.5,-1993.0,9522.0
-802.4,1914.5,-13347.7,-4.1,-14884.9,-2134.1,13508.0
357.3,2360.9,16052.6,12.1,-14765.4,2170.9,16229.0
-160.0,-10713.9,11897.4,-36.2,-8222.4,-7403.4,16011.0
2.3,23938.4,4342.0,0.6,-476.0,2624.0,24328.0
-365.3,-19039.5,13680.9,10.2,-5102.7,-7101.5,23447.0
-1267.4,15559.3,-9307.5,-40.7,-4020.7,-6716.6,18174.0
-306.6,-1278.2,1500.1,-43.8,-8610.6,-7345.3,1994.0
-1562.1,79.4,-27222.9,-6.3,-14930.0,-44.0,27267.0
-18.0,-39654.5,49080.1,33.0,-9077.2,-7333.6,63097.0
-402.2,-988.3,-3631.2,-13.9,-13980.1,3805.9,3784.0
-92.0,-1193.1,-937.8,6.4,-5713.3,7287.9,1520.0
-662.1,61.2,-8345.5,-28.7,-15071.1,-106.4,8371.0
70.6,-149.7,-621.0,-59.9,-14033.4,3425.9,642.0
-1824.4,174.7,-843.9,8.5,-14375.9,-3062.2,2017.0
-822.2,-808.0,220.7,92.6,-1179.6,-3967.5,1173.0
482.4,-17344.5,15325.2,-7.2,-6568.7,-7434.2,23150.0
152.7,15967.1,-15571.1,19.4,-7280.5,-7466.7,22303.0
260.8,-2667.8,-6235.9,6.9,-12725.9,5451.2,6787.0
11.6,436.7,551.5,-20.0,-9249.8,7307.3,703.0
-375.9,-13343.1,-17611.0,-9.2,-9535.4,7226.3,22098.0
96.6,-6212.1,20567.8,-18.0,-13822.8,-4174.4,21485.0
-40.4,-20240.9,6654.7,40.8,-1455.5,-4427.7,21306.0
171.2,-8975.6,-6870.5,12.5,-5532.0,7227.9,11304.0
-304.4,-3592.3,-11657.3,-42.4,-13731.4,4232.3,12202.0
566.8,8381.2,5121.5,-62.2,-4100.2,6714.4,9838.0
350.2,-1192.0,1950.6,-46.9,-10795.9,-6595.5,2312.0
-779.8,1827.3,-425.8,40.3,-17.0,-146.8,2031.0
-433.4,-14688.4,-966.1,37.9,-9.3,124.8,14726.0
238.8,-15782.3,5348.9,19.1,-1499.1,-4423.6,16665.0
-56.9,2041.1,-2260.4,7.0,-8294.2,-7482.0,3046.0
64.6,-28894.7,7528.9,58.2,-958.7,-3680.3,29859.0
19.1,-13126.3,-26898.5,-17.2,-12027.0,5868.9,29930.0
72.1,14424.9,3152.5,3.5,-697.6,3192.7,14765.0
275.6,-22730.0,-7046.2,6.9,-1322.7,4267.5,23798.0
171.1,-5286.7,20691.4,-24.5,-14148.9,-3612.2,21356.0
217.1,23752.5,11114.2,-11.6,-2749.2,5875.1,26225.0
-138.5,-43944.3,-537.9,48.9,-2.4,186.4,43947.0
148.3,-1666.9,-35481.9,23.7,-15192.6,713.9,35521.0
-316.4,17692.3,-6768.3,-18.6,-1920.2,-5018.5,18945.0
-278.9,12855.9,3235.9,-6.9,-892.7,3545.8,13259.0
-144.5,-827.4,-301.8,50.8,-1775.9,4830.0,892.0
-19.4,10805.1,2989.4,54.3,-1042.1,3766.1,11210.0
176.5,-4663.0,6797.8,16.8,-10118.2,-6941.3,8245.0
478.5,-16992.6,22706.0,21.4,-9612.1,-7194.0,28364.0
-100.2,10189.6,6093.7,88.0,-4047.0,6771.1,11873.0
29.2,-5457.0,2314.1,19.4,-2269.7,-5353.1,5927.0
-725.6,5732.0,20176.9,4.0,-14084.3,4001.9,20987.0
-106.1,306.7,-123.6,1.7,-2068.6,-5171.1,347.0
-59.2,381.9,-410.3,-1.2,-8021.3,-7539.1,563.0
-1861.2,41507.7,-28608.1,-54.2,-4782.3,-6935.2,50445.0
-1937.6,-3723.6,-5526.7,-73.3,-10274.3,6947.6,6940.0
215.4,-9569.5,17044.2,22.8,-11489.8,-6449.9,19548.0
1118.1,-5557.3,24462.4,8.6,-14243.3,-3236.9,25110.0
-844.4,-15276.4,-6869.8,30.5,-2494.6,5543.9,16771.0
-360.9,40487.3,43722.5,-31.5,-8104.5,7504.2,59590.0
483.4,-2964.7,-5320.0,-414.4,-11344.3,6292.6,6109.0
-1522.8,4062.1,18958.9,207.6,-15600.2,3358.9,19448.0
-32.5,136.9,-1709.0,18.2,-14971.9,-1170.9,1714.0
-29.7,13546.7,3683.5,-25.7,-1034.2,3802.5,14038.0
115.3,-45.2,573.6,-74.0,-14831.4,-1098.3,586.0
40.0,-2447.7,-14223.6,5.6,-14563.9,2510.0,14432.0
222.3,139.1,901.9,-57.3,-14718.1,2288.8,939.0
-10.2,-2639.8,-2021.5,692.5,-7490.6,9761.9,3324.0
-68.7,-1745.4,-15629.4,-18.9,-14920.9,1670.1,15726.0
-30.9,-28853.2,23066.5,1.6,-5827.1,-7288.2,36940.0
-217.2,7986.9,-2118.8,-56.9,-991.0,-3731.0,8266.0
-204.7,-113.6,-371.9,-45.3,-13642.7,4332.2,439.0
121.5,-604.7,-5898.8,-18.4,-14783.5,1523.7,5930.0
-1263.3,10518.3,16364.3,21.6,-10790.2,6938.7,19494.0
312.8,-35371.2,19360.7,35.9,-3439.0,-6283.0,40324.0
-79.9,-16808.7,7180.2,30.4,-2335.2,-5467.4,18278.0
-1124.5,13701.7,-12253.1,-74.8,-6655.3,-7435.4,18415.0
60.7,-650.2,-800.6,-9.2,-9077.9,7392.5,1033.0
-787.8,-7112.9,-18212.6,-12.5,-12930.9,5048.0,19568.0
285.1,-7486.3,21489.7,-8.8,-13436.1,-4682.3,22758.0
6.5,-3922.9,9370.6,35.2,-12844.2,-5375.1,10158.0
544.6,-3115.1,33257.7,25.3,-14787.0,-1386.2,33407.0
1107.0,4157.4,-2524.7,-8.0,-4098.9,-6751.9,4988.0
1563.1,-260.9,-2260.1,-21.6,-14817.9,1709.4,2760.0
-563.9,-13250.6,18107.1,39.9,-9784.1,-7160.3,22444.0
148.5,1325.9,-9727.2,-8.0,-14698.1,-2008.0,9818.0
-955.2,-7367.6,26994.1,61.3,-14003.3,-3818.5,27997.0
-132.2,-22.1,-48.9,5.2,-12446.3,5521.7,142.0
-36.6,1512.0,-799.2,-51.3,-3291.3,-6239.5,1710.0
-95.7,-7.6,-34.9,14.6,-14886.8,1389.2,102.0
30.3,3509.5,3291.0,11.3,-7045.7,7522.5,4811.0
154.8,-6067.4,-947.9,158.2,-285.0,1849.6,6142.0
-125.2,-15274.6,-6956.0,30.5,-2573.2,5648.4,16784.0
-1406.8,8886.3,-49429.4,-11.2,-14715.0,-2646.1,50241.0
237.4,6177.5,10702.4,14.3,-11285.0,6516.8,12359.0
-229.2,-14240.3,2505.8,18.9,-457.1,-2595.9,14460.0
793.6,-4104.8,-40855.8,21.9,-15055.7,1512.9,41069.0
389.7,-297.0,-1513.2,129.5,-14548.1,2912.5,1590.0
377.4,3369.8,5035.6,35.5,-10316.4,6904.9,6070.0
5.2,-26915.4,22677.8,38.3,-6285.0,-7460.4,35195.0
188.2,-7512.8,-5086.1,40.5,-4719.7,6976.2,9074.0
-314.2,2974.6,-1270.2,-28.2,-2301.9,-5388.6,3249.0
643.2,27864.5,25192.8,-14.5,-6716.1,7428.9,37570.0
279.1,-36330.6,-20415.0,41.1,-3700.6,6585.9,41674.0
103.5,1591.1,-5410.7,-30.8,-13797.6,-4048.5,5640.0
-32.4,11417.4,5074.0,13.0,-2455.3,5525.5,12494.0
1717.4,-3318.5,-2792.7,-754.2,-8558.8,9713.7,4664.0
-27.6,6175.1,-3139.7,-3.1,-3043.7,-5984.3,6927.0
-738.6,1316.4,-3947.6,39.6,-13406.5,-4485.0,4226.0
64.1,11593.7,17202.8,-4.6,-10251.7,6909.6,20744.0
-1671.8,6148.7,-31474.4,-7.7,-14632.8,-2856.2,32112.0
-1521.0,11574.4,-4643.5,13.7,-2082.6,-5193.8,12563.0
-67.1,-8559.9,2992.9,117.6,-1612.4,-4608.1,9068.0
-344.3,9652.6,24069.3,14.4,-12908.2,5174.8,25934.0
-20.1,-8239.0,-1398.9,79.1,-411.1,2421.3,8356.0
-741.4,8338.8,44819.9,-41.7,-14709.5,2737.2,45595.0
-28.4,114.7,-120.3,-0.9,-8021.4,-7539.0,168.0
-149.9,-10318.8,25198.5,-32.6,-12848.5,-5261.9,27229.0
-105.2,7397.4,11844.8,-27.0,-10759.8,6717.4,13965.0
350.1,2199.9,-3320.5,-41.8,-10386.3,-6894.4,3998.0
-385.0,-3159.3,-7205.9,9.0,-12753.1,5596.1,7877.0
53.1,795.5,-2917.5,-1.0,-14131.1,-3861.6,3024.0
-1034.0,4015.9,-18791.7,49.2,-14290.0,-3056.5,19243.0
-379.6,20922.7,-7690.7,-28.4,-1797.2,-4887.7,22294.0
-191.9,203.8,-2432.9,10.0,-14943.4,-1242.9,2448.0
-566.7,-22892.7,15265.9,0.9,-4607.7,-6909.2,27521.0
-391.4,39855.6,-37728.8,-31.7,-7236.1,-7643.1,54882.0
-1445.8,-35677.0,-15599.7,42.5,-2423.4,5538.5,38965.0
-1262.7,4588.7,28203.9,65.5,-14563.0,2370.9,28602.0
283.9,5632.3,-20419.7,-63.2,-13906.1,-3836.6,21184.0
-409.8,-28865.4,-8064.9,24.0,-1101.5,3941.4,29973.0
430.7,-17128.3,38939.6,43.7,-12577.1,-5532.0,42542.0
122.7,-230.5,605.8,-431.4,-13296.5,-5053.4,659.0
161.2,2293.3,-1805.7,39.8,-5737.5,-7283.1,2923.0
1180.4,30557.0,16349.4,-22.6,-3305.6,6180.5,34676.0
33.1,-2134.6,2641.2,15.3,-9148.3,-7382.9,3396.0
-183.4,33857.5,7434.7,7.8,-680.3,3097.9,34664.0
-108.8,1557.7,-6868.9,-36.7,-14265.7,-3227.0,7044.0
133.6,-37.2,-335.6,33.8,-14841.3,1602.3,363.0
-155.7,-26935.2,-14019.1,36.8,-3219.0,6184.0,30365.0
1530.3,-13201.4,-32931.4,8.4,-13099.6,5250.1,35511.0
75.8,-23649.5,-8535.1,-18.0,-1753.7,4859.2,25142.0
-54.2,-347.6,-760.9,243.6,-12446.5,5633.5,838.0
-101.0,464.8,-795.3,85.3,-11136.1,-6541.2,926.0
61.6,-7431.9,-2071.9,-33.4,-1077.7,3865.4,7715.0
-235.8,32539.5,35485.2,-11.4,-8273.9,7586.2,48146.0
-629.6,22601.6,10115.4,-71.7,-2493.1,5567.1,24769.0
173.9,-6908.6,11363.5,-7.6,-10970.5,-6672.4,13299.0
0.2,3466.5,-3248.6,56.6,-7113.3,-7587.9,4750.0
-1345.4,2739.0,48601.4,9.6,-15164.0,854.6,48697.0
-448.4,1202.2,-2172.7,11.2,-11416.9,-6318.2,2523.0
-417.8,-156.4,-3206.6,22.3,-15191.2,732.5,3237.0
-700.0,653.6,-3718.8,8.6,-14452.8,-2532.0,3840.0
-207.3,11751.3,12730.2,12.1,-8135.1,7507.0,17326.0
-115.4,20801.6,-20082.1,-4.8,-7235.7,-7494.2,28913.0
130.5,6996.8,-12756.6,60.4,-11537.2,-6326.4,14550.0
-963.9,6011.3,-34125.9,-7.9,-14732.8,-2596.3,34664.0
-548.6,-14390.7,19657.1,41.2,-9784.1,-7160.2,24367.0
-277.2,-6662.2,-2196.2,-37.7,-1486.1,4515.6,7020.0
187.5,-2154.1,-2995.9,133.4,-9795.8,7054.5,3694.0
-350.0,-7878.5,-888.4,60.4,32.0,-307.5,7936.0
-15.1,3126.7,772.9,-15.1,-870.6,3520.3,3220.0
-152.9,3769.4,2966.2,9.2,-5688.2,7228.1,4798.0
474.1,-17654.5,18495.5,22.9,-7930.3,-7569.5,25573.0
478.9,-11387.2,-3276.7,-5.1,-1136.3,3949.5,11858.0
1042.9,-23985.2,-4213.8,74.4,-457.3,2621.3,24374.0
-50.3,-19706.3,6478.3,40.2,-1455.5,-4427.7,20743.0
-1522.4,9034.3,-50847.3,-11.4,-14726.3,-2615.6,51666.0
-121.6,1093.1,699.5,3.2,-4351.7,6776.7,1303.0
373.7,-3558.4,1430.6,-13.9,-2133.8,-5297.9,3853.0
-208.4,10395.1,2612.7,-4.3,-889.4,3539.6,10720.0
-198.1,-2239.9,3866.1,299.7,-11394.1,-6588.0,4472.0
39.0,31379.4,-33804.7,38.9,-8214.7,-7624.9,46123.0
338.4,4421.0,-7625.9,6.3,-11322.6,-6562.0,8821.0
-1987.2,35509.3,-8611.0,-123.2,-863.7,-3533.2,36592.0
-1875.3,244.3,-892.0,33.7,-13889.9,-3910.0,2090.0
40.8,-1203.2,200.9,15.6,-413.6,-2483.3,1220.0
281.4,-8859.1,-9025.1,6.5,-7643.6,7502.1,12649.0
-975.6,-38561.2,14615.3,91.1,-1896.5,-4998.1,41249.0
-319.2,6674.1,-9085.7,-25.4,-9803.0,-7197.0,11278.0
484.2,-14860.6,-9736.5,31.7,-4503.1,6875.1,17772.0
-1681.6,1881.4,5265.1,-55.1,-13256.7,4717.8,5838.0
579.6,23260.0,18889.7,-29.6,-6075.9,7481.9,29969.0
-428.4,-4242.4,8008.7,-80.0,-11678.0,-6194.1,9073.0
-104.9,15251.7,29135.4,-13.9,-11677.6,6112.3,32886.0
-362.5,-9753.2,1269.0,2.3,-251.2,-1929.2,9842.0
133.9,-3089.9,19725.3,-14.2,-14866.8,-2328.0,19966.0
-307.4,6486.2,-7428.8,-14.6,-8518.7,-7436.5,9866.0
-152.8,637.0,-3377.3,38.7,-14346.6,-2692.4,3440.0
-0.7,-808.3,4578.7,-10.8,-14423.4,-2550.5,4649.0
-158.7,-5642.0,-146.4,-43.6,-15.6,647.4,5646.0
419.4,136.4,-3286.1,-68.0,-14862.4,-627.8,3315.0
-705.0,23027.0,-6438.4,-95.6,-1117.1,-3985.5,23920.0
27.1,-5688.0,2410.9,19.6,-2269.7,-5353.1,6177.0
-198.2,-52233.7,643.4,58.4,-2.5,-187.3,52238.0
1043.8,33221.3,3986.9,-37.8,-210.3,1762.0,33475.0
-212.4,10887.6,-5507.2,-126.1,-3030.2,-5985.0,12203.0
-91.5,-1854.7,8277.7,-13.8,-14282.2,-3194.2,8483.0
-307.2,-9870.7,21513.8,-1.8,-12399.8,-5688.5,23672.0
-206.6,-160.1,-518.1,-45.3,-13642.7,4332.2,580.0
-75.3,24119.7,8765.2,-53.4,-1751.8,4819.6,25663.0
-12.6,-9096.0,-9289.7,142.3,-7645.4,7484.0,13001.0
-259.1,-6822.0,18762.0,-5.8,-13566.9,-4935.2,19965.0
-221.8,103.0,666.2,23.6,-14806.0,2209.8,709.0
-71.9,-6835.7,2170.1,42.9,-1392.4,-4382.3,7172.0
211.4,-10835.0,9927.0,30.8,-6773.5,-7391.1,14696.0
-220.3,37074.8,12582.9,-71.4,-1485.5,4376.1,39152.0
19.7,-25206.4,2377.1,15.3,-136.4,-1445.8,25318.0
-690.3,-39373.8,-22302.0,44.6,-3646.6,6436.0,45256.0
-338.4,817.9,-971.7,86.3,-8769.2,-7425.6,1314.0
-172.4,4872.2,-6007.3,-8.5,-8979.0,-7277.2,7736.0
346.0,8153.0,1303.2,-12.8,-380.6,2385.2,8263.0
-244.4,-2155.2,-5438.8,21.8,-13031.8,5158.6,5855.0
448.8,-8114.8,28835.6,-5.0,-14097.7,-3967.1,29958.0
-475.2,17226.3,40358.7,-21.2,-12846.2,5482.1,43883.0
438.6,-11619.5,-2310.6,19.7,-572.1,2880.6,11855.0
-201.9,51879.8,631.6,-58.0,-2.5,187.3,51884.0
14.6,-1034.1,-1541.5,28.8,-10256.3,6899.1,1856.0
-1624.5,2277.2,45592.6,9.7,-15169.5,757.8,45678.0
615.0,803.9,1735.5,53.4,-12341.3,5707.5,2009.0
-175.3,18373.7,15127.5,-89.9,-6059.5,7358.2,23800.0
306.8,2833.9,-1161.5,20.3,-2173.8,-5296.9,3077.0
452.5,-23558.3,9305.6,95.6,-2045.6,-5183.6,25333.0
81.9,2001.2,-8225.5,31.0,-14121.4,-3439.0,8465.0
-913.0,13586.4,5897.3,-8.6,-2442.9,5628.5,14839.0
-131.8,-9367.1,-2323.2,33.6,-849.0,3420.8,9651.0
380.7,-7503.2,-17791.6,6.5,-12890.1,5439.3,19312.0
264.2,-923.4,2350.7,54.1,-12977.8,-5097.2,2539.0
465.6,-3864.1,-10996.8,-22.2,-13326.9,4679.5,11665.0
645.2,-33198.3,19841.5,35.4,-3994.4,-6685.2,38681.0
324.8,10071.7,-28669.0,-23.1,-13351.4,-4691.6,30388.0
-1143.0,1285.4,13779.9,-89.9,-15060.9,1393.1,13886.0
73.5,16135.9,-14017.1,9.5,-6416.4,-7387.4,21374.0
-14.8,150.0,2116.4,-53.4,-15015.5,1088.9,2121.0
315.9,413.2,2080.0,3.6,-14536.7,2866.8,2144.0
-1177.9,7122.0,23583.2,-69.6,-13695.6,4130.4,24663.0
101.1,-26085.9,-11030.3,30.2,-2339.9,5534.6,28322.0
-63.7,11573.3,27997.9,-10.2,-12881.0,5323.6,30295.0
917.1,33712.4,34646.9,-28.1,-7730.2,7522.9,48350.0
-161.9,-7789.8,-21253.8,5.3,-13289.5,4868.5,22636.0
364.4,-19380.7,34082.4,-53.8,-11356.3,-6457.5,39209.0
1212.2,2171.6,1115.5,96.9,-3237.6,6202.1,2725.0
-303.7,-4524.7,-1182.2,-27.9,-999.7,3831.3,4686.0
-44.8,3364.0,16312.6,-27.1,-14411.4,2972.9,16655.0
-1343.4,31598.6,-20000.2,-34.6,-4348.2,-6866.8,37420.0
-184.6,-734.1,1729.2,-6.0,-12617.4,-5373.3,1887.0
1457.9,-13582.7,-15362.9,10.9,-8522.2,7534.7,20558.0
775.9,-7409.0,11521.8,7.2,-10738.8,-6907.1,13720.0
1172.7,-37683.4,-29497.7,27.9,-5694.9,7276.2,47869.0
-243.9,1534.7,9139.9,-31.8,-14740.6,2468.3,9271.0
-191.3,874.6,6580.0,-29.6,-14663.6,1946.3,6640.0
-735.2,-14376.2,-9997.7,-12.2,-4922.9,7079.3,17526.0
401.8,1108.6,-4981.5,2.0,-14335.1,-3193.9,5119.0
-125.4,-44305.5,-552.1,49.3,-2.5,186.3,44309.0
347.8,13680.9,-17023.7,57.0,-9179.4,-7376.5,21842.0
-299.3,19090.3,-25065.7,-8.0,-9502.2,-7237.5,31509.0
-82.5,-512.4,1227.1,0.4,-12665.5,-5270.2,1332.0
-179.5,2657.8,-7216.7,-18.2,-13272.1,-4892.7,7692.0
8.2,-16843.2,25294.5,23.2,-10584.7,-7047.6,30389.0
-96.3,4926.0,-16491.5,-8.2,-13981.3,-4173.8,17211.0
225.1,4252.9,-20558.3,68.2,-14672.3,-3034.0,20994.0
-1207.9,-39546.9,2196.4,46.6,-52.1,-912.1,39626.0
232.5,-4567.8,13329.2,-38.6,-13342.8,-4575.8,14092.0
-78.6,12701.5,7591.4,85.4,-4047.0,6771.0,14797.0
-94.7,-3990.6,4644.8,9.5,-8555.6,-7345.6,6124.0
310.1,332.8,-7740.9,-10.5,-14983.8,-644.5,7754.0
-215.6,6424.9,6326.2,-95.0,-7409.9,7525.1,9019.0
-245.8,1546.6,-7888.2,-3.4,-14542.2,-2849.8,8042.0
-166.2,11411.8,23405.1,2.7,-12159.2,5928.0,26039.0
432.6,17751.2,-19541.9,164.3,-8229.5,-7472.4,26404.0
297.0,-22620.7,33658.5,15.9,-10330.1,-6943.2,40554.0
-382.4,-31922.0,-33376.7,53.7,-7840.0,7497.6,46186.0
117.5,-219.1,1192.4,-30.3,-14669.8,-2643.7,1218.0
-144.3,-41656.0,-17920.4,49.9,-2306.6,5361.2,45347.0
314.2,182.2,1110.5,393.6,-14718.5,2257.0,1168.0
-235.0,7277.1,-8525.4,-52.4,-8610.9,-7345.1,11211.0
-53.6,6178.5,960.7,-30.8,-360.3,2315.2,6252.0
-85.4,-25816.1,3992.4,35.6,-349.5,-2259.0,26123.0
-286.6,8354.4,15822.6,-16.9,-11608.9,6129.2,17895.0
-535.1,-214.2,-4039.4,43.4,-15299.1,816.0,4080.0
428.5,26430.3,89.5,-67.3,4.9,-1115.2,26433.0
-435.5,579.0,-1427.5,-12.1,-12886.8,-5225.7,1600.0
660.4,5696.0,-6340.0,-24.9,-8286.0,-7445.1,8548.0
-142.7,2034.4,385.8,-8.7,-510.3,2686.6,2075.0
-99.5,-3014.9,-1851.6,9.6,-4067.6,6618.6,3539.0
-187.1,18199.6,-19349.4,-31.3,-7976.4,-7502.8,26564.0
-58.0,-528.7,-2355.6,100.9,-14093.2,3162.6,2414.0
-358.0,42795.2,11187.2,-58.0,-959.1,3667.2,44234.0
800.0,3516.0,-1086.0,5.2,-1325.2,-4284.2,3765.0
-22.6,606.4,-713.4,67.1,-8700.7,-7375.3,936.0
280.3,23493.7,7141.0,-35.5,-1268.0,4173.8,24556.0
-612.0,1798.9,-12636.2,-4.1,-14887.8,-2123.9,12778.0
-298.0,-10484.8,24705.4,-1.5,-12795.9,-5429.9,26839.0
436.8,10012.0,-1071.8,157.1,-68.8,-578.3,10078.0
-689.1,34067.4,25569.0,-27.3,-5410.3,7208.3,42600.0
-1738.4,-26988.2,17074.7,19.5,-4272.9,-6752.4,31983.0
103.9,-7177.9,10696.2,-8.3,-10336.7,-6934.9,12881.0
464.7,-33780.2,19709.5,37.1,-3829.9,-6564.2,39112.0
-44.6,-2918.9,-10754.1,-17.8,-14036.8,3814.2,11143.0
-127.9,115.6,-192.5,6.6,-10809.1,-6661.1,258.0
